evaluationID,CoachSSN,NomineeSSN,ACoachSSN,evaluationDate,evaluationScore
175,100000005,100000195,100000015,2013-07-08,1750
176,100000006,100000196,100000016,2013-06-19,1760
177,100000007,100000197,100000017,2013-07-01,1770
178,100000008,100000198,100000018,2013-09-26,1780
179,100000009,100000199,100000019,2013-10-10,1790
180,100000010,100000200,100000020,2013-09-20,1800
181,100000001,100000201,100000011,2013-10-07,1810
182,100000002,100000202,100000012,2013-08-30,1820
183,100000003,100000203,100000013,2013-10-09,1830
184,100000004,100000204,100000014,2013-08-29,1840
185,100000005,100000205,100000015,2013-09-18,1850
186,100000006,100000206,100000016,2013-09-14,1860
187,100000007,100000207,100000017,2013-06-16,1870
188,100000008,100000208,100000018,2013-06-15,1880
189,100000009,100000209,100000019,2013-08-04,1890
190,100000010,100000210,100000020,2013-07-09,1900
191,100000001,100000211,100000011,2013-09-01,1910
192,100000002,100000212,100000012,2013-10-17,1920
193,100000003,100000213,100000013,2013-11-12,1930
194,100000004,100000214,100000014,2013-06-20,1940
195,100000005,100000215,100000015,2013-11-23,1950
196,100000006,100000216,100000016,2013-12-04,1960
197,100000007,100000217,100000017,2013-11-06,1970
198,100000008,100000218,100000018,2013-08-21,1980
199,100000009,100000219,100000019,2013-09-27,1990
200,100000010,100000220,100000020,2013-06-13,2000
